/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_20.png -158.016983 -18.638319 -2.404081 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_23.png -146.774909 -13.972061 -3.415235 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_24.png -145.439673 -12.621616 -4.072046 [496.751953, 236.884613]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_25.png -144.466261 -10.394997 -4.488070 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_26.png -143.026938 -9.479581 -5.150338 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_27.png -141.581656 -11.320850 -5.782342 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_28.png -139.074579 -13.349149 -6.227504 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_30.png -133.867379 -16.289128 -4.873426 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_31.png -132.146516 -22.399558 -2.307250 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_32.png -131.798388 -29.783552 -0.318237 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_33.png -128.997625 -36.366687 1.061886 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_34.png -122.950125 -36.869017 1.342952 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_35.png -121.145734 -40.213965 1.889524 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_36.png -124.535551 -42.079532 2.563255 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-21-32/img/image_37.png -117.916725 -40.455012 -0.725535 [550.0, 300.0]
