/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_13.png -147.758254 -9.227485 0.106344 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_14.png -148.607298 -7.798309 1.690665 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_15.png -147.955470 -6.482532 1.525411 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_16.png -145.875158 -6.588798 0.905609 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_19.png -124.540300 -8.684379 -1.442165 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_20.png -111.713144 -9.050161 -2.259640 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_21.png -98.203254 -8.372426 -2.080835 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_22.png -85.638737 -6.439091 -1.447351 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_23.png -71.950049 -4.710661 -1.032607 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_24.png -60.141941 -4.473874 -0.952427 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_25.png -49.930437 -4.273593 -1.481171 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_26.png -44.167653 -4.087833 -1.774059 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_27.png -45.398756 -3.859684 -2.003584 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_28.png -47.093291 -3.256822 -1.600196 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_29.png -47.572266 -2.362619 -1.084491 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_30.png -49.113852 -2.754578 -0.836619 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_31.png -49.136368 -2.716731 -0.252982 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_32.png -48.922832 -2.493374 0.060382 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_33.png -48.421214 -2.664945 -0.050055 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_34.png -43.861507 -3.911921 -0.345012 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_35.png -32.335414 -7.020728 -1.014432 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_36.png -23.541114 -8.267220 -1.043957 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_37.png -15.153629 -8.414276 -0.151522 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_38.png -6.080098 -7.280946 0.327527 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_39.png -0.092334 -6.374305 1.304091 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_40.png 6.623857 -5.361463 1.604644 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_41.png 14.347984 -4.764502 1.413982 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_42.png 19.124856 -4.863330 1.609379 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_43.png 23.019349 -5.789714 1.437793 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_44.png 25.469471 -5.731501 0.627766 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_45.png 27.483512 -4.936523 -0.288466 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_46.png 28.948837 -3.848258 -1.740271 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_47.png 28.678877 -5.128620 -2.064932 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_48.png 29.280857 -4.203316 -2.384172 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_49.png 28.525228 -4.835371 -2.479897 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_50.png 28.671475 -4.728469 -2.556119 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_51.png 27.590806 -4.917187 -2.338522 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_52.png 27.344143 -5.567907 -2.041835 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_53.png 27.178917 -6.394690 -1.355842 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_54.png 26.059861 -7.503395 -0.151259 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_56.png 23.460672 -7.300239 0.852556 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_57.png 23.134160 -7.354394 1.183057 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_58.png 24.781335 -7.912791 1.791642 [470.12735, 303.494598]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_59.png 28.085315 -9.196838 1.757428 [489.94693, 299.81723]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_60.png 34.052822 -10.178677 -0.647947 [483.341092, 299.797126]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-13-22-48/img/image_61.png 37.769320 -10.355691 -3.342924 [483.214981, 299.796742]
