/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_6.png 140.593443 -0.378648 0.541608 [575.589539, 241.98056]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_7.png 124.088510 2.443555 -0.794735 [552.064331, 228.432846]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_8.png 113.777672 2.845587 -1.415045 [521.234314, 219.173721]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_9.png 116.122237 2.941306 -2.058817 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_10.png 140.050822 0.514357 1.469972 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_11.png 158.525709 -5.054788 2.681934 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_12.png 176.424935 -12.184864 1.297876 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_13.png -174.285749 -18.520746 0.522244 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_14.png -170.236741 -26.652191 0.562634 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_15.png -170.988418 -34.721939 0.729193 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_16.png -172.834834 -40.390940 1.066957 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_17.png -176.669238 -42.433829 2.243620 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_18.png -175.897898 -34.136538 2.148025 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_19.png -172.047465 -21.255983 1.247517 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_20.png -163.218087 -6.684966 -1.734657 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_21.png -153.016571 1.504275 -3.198224 [550.0, 300.0]
/mnt/gpid07/users/morros/VFOA/TRAYECTORIAS2020_03_13/M2020-03-13-15-00-41/img/image_22.png -141.074729 5.480132 -3.447646 [550.0, 300.0]
